40,-75.246480,-75.241920,1.000000,-75.221720
46.302000,1.025390,-75.188590,-75.183580,1.000000,-75.172520
46.303000,1.025390,-75.188420,-75.183420,1.000000,-75.172360
46.304000,1.005860,-75.188260,-75.183250,1.000000,-75.172230
46.305000,1.015630,-75.188090,-75.183080,1.000000,-75.172100
46.306000,1.025390,-75.187930,-75.182920,1.000000,-75.171960
46.307000,0.996090,-75.187760,-75.182750,1.000000,-75.171820
46.308000,1.035160,-75.187590,-75.182580,1.000000,-75.171670
46.309000,0.996090,-75.187430,-75.182420,1.000000,-75.171560
46.310000,1.035160,-75.187270,-75.182250,1.000000,-75.171420
46.311000,1.015630,-75.187100,-75.182080,1.000000,-75.171290
46.312000,1.025390,-75.186940,-75.181920,1.000000,-75.171140
46.313000,1.015630,-75.186770,-75.181750,1.000000,-75.171020
46.314000,1.025390,-75.186600,-75.181580,1.000000,-75.170880
46.324000,0.986330,-75.184940,-75.179920,1.000000,-75.169370
46.325000,0.996090,-75.184760,-75.179750,1.000000,-75.169230
46.327000,0.996090,-75.184430,-75.179420,1.000000,-75.168920
46.328000,1.044920,-75.184270,-75.179250,1.000000,-75.168770
46.329000,1.015630,-75.184100,-75.179080,1.000000,-75.168590
46.330000,1.025390,-75.183940,-75.178920,1.000000,-75.168470
46.331000,1.044920,-75.183780,-75.178750,1.000000,-75.168300
46.332000,1.025390,-75.183610,-75.178580,1.000000,-75.168170
46.333000,1.015630,-75.183440,-75.178420,1.000000,-75.168020
46.334000,1.025390,-75.183270,-75.178250,1.000000,-75.167880
46.335000,1.035160,-75.183090,-75.178080,1.000000,-75.167740
46.336000,1.005860,-75.182930,-75.177920,1.000000,-75.167600
46.337000,1.025390,-75.182760,-75.177750,1.000000,-75.167470
46.338000,1.035160,-75.182590,-75.177580,1.000000,-75.167330
46.339000,1.035160,-75.182430,-75.177420,1.000000,-75.167190
46.340000,1.015630,-75.182270,-75.177250,1.000000,-75.167060
46.341000,1.064450,-75.182110,-75.177080,1.000000,-75.166930
46.342000,1.025390,-75.181940,-75.176920,1.000000,-75.166790
46.343000,1.025390,-75.181770,-75.176750,1.000000,-75.166660
46.344000,1.015630,-75.181600,-75.176580,1.000000,-75.166530
46.357000,0.966800,-75.179470,-75.175700,1.000000,-75.164430
46.358000,0.976560,-75.179340,-75.175700,1.000000,-75.164250
46.360000,0.996090,-75.179080,-75.175700,1.000000,-75.163930
46.361000,0.976560,-75.178960,-75.175700,1.000000,-75.163760
46.362000,0.996090,-75.178840,-75.175700,1.000000,-75.163640
46.363000,0.976560,-75.178730,-75.175700,1.000000,-75.163470
46.364000,0.986330,-75.178620,-75.175700,1.000000,-75.163330
46.365000,0.996090,-75.178520,-75.175700,1.000000,-75.163190
46.366000,1.005860,-75.178420,-75.175700,1.000000,-75.163070
46.367000,0.986330,-75.178320,-75.175700,1.000000,-75.162930
46.368000,0.986330,-75.178230,-75.175700,1.000000,-75.162780
46.369000,1.015630,-75.178150,-75.175700,1.000000,-75.162670
46.370000,1.015630,-75.178070,-75.175700,1.000000,-75.162540
46.371000,0.986330,-75.177990,-75.175700,1.000000,-75.162430
46.372000,0.986330,-75.177910,-75.175700,1.000000,-75.162320
46.373000,0.986330,-75.177830,-75.175700,1.000000,-75.162200
46.374000,1.005860,-75.177760,-75.175700,1.000000,-75.162100
46.375000,0.996090,-75.177700,-75.175700,1.000000,-75.162000
46.376000,1.015630,-75.177630,-75.175700,1.000000,-75.161900
46.377000,1.025390,-75.177560,-75.175700,1.000000,-75.161790
46.411000,0.996090,-75.176270,-75.175700,1.000000,-75.159650
46.412000,0.996090,-75.176250,-75.175700,1.000000,-75.159630
46.414000,1.025390,-75.176220,-75.175700,1.000000,-75.159550
46.415000,0.996090,-75.176190,-75.175700,1.000000,-75.159520
46.416000,1.005860,-75.176180,-75.175700,1.000000,-75.159480
46.417000,1.005860,-75.176160,-75.175700,1.000000,-75.159480
46.418000,0.986330,-75.176150,-75.175700,1.000000,-75.159420
46.419000,0.966800,-75.176120,-75.175700,1.000000,-75.159390
46.420000,1.005860,-75.176110,-75.175700,1.000000,-75.159380
46.421000,0.986330,-75.176090,-75.175700,1.000000,-75.159340
46.422000,1.025390,-75.176080,-75.175700,1.000000,-75.159300
46.423000,0.996090,-75.176070,-75.175700,1.000000,-75.159290
46.424000,0.986330,-75.176050,-75.175700,1.000000,-75.159270
46.425000,1.005860,-75.176040,-75.175700,1.000000,-75.159230
46.426000,1.005860,-75.176030,-75.175700,1.000000,-75.159200
46.427000,1.005860,-75.176010,-75.175700,1.000000,-75.159200
46.428000,1.025390,-75.176000,-75.175700,1.000000,-75.159150
46.429000,1.005860,-75.175990,-75.175700,1.000000,-75.159150
46.430000,1.005860,-75.175990,-75.175700,1.000000,-75.159140
46.431000,0.996090,-75.175970,-75.175700,1.000000,-75.159130
46.468000,1.015630,-75.175740,-75.175700,1.000000,-75.158560
46.469000,1.015630,-75.175740,-75.175700,1.000000,-75.158560
46.471000,0.986330,-75.175730,-75.175700,1.000000,-75.158560
46.472000,0.966800,-75.175720,-75.175700,1.000000,-75.158560
46.473000,1.005860,-75.175720,-75.175700,1.000000,-75.158550
46.474000,1.015630,-75.175710,-75.175700,1.000000,-75.158550
46.475000,1.005860,-75.175700,-75.175700,1.000000,-75.158550
46.476000,1.015630,-75.175700,-75.175700,1.000000,-75.158510
46.477000,0.976560,-75.175700,-75.175700,1.000000,-75.158510
46.478000,0.996090,-75.175690,-75.175700,1.000000,-75.158490
46.479000,0.966800,-75.175680,-75.175700,1.000000,-75.158450
46.479000,0.966800,-75.175680,-75.175700,1.000000,-75.158450
46.480000,0.996090,-75.175680,-75.175700,1.000000,-75.158450
46.481000,0.996090,-75.175680,-75.175700,1.000000,-75.158450
46.482000,1.025390,-75.175680,-75.175700,1.000000,-75.158450
46.483000,0.976560,-75.175680,-75.175700,1.000000,-75.158410
46.484000,0.976560,-75.175690,-75.175700,1.000000,-75.158410
46.485000,0.966800,-75.175700,-75.175700,1.000000,-75.158400
46.486000,0.996090,-75.175690,-75.175700,1.000000,-75.158400
46.487000,0.966800,-75.175700,-75.175700,1.000000,-75.158360
46.488000,1.005860,-75.175700,-75.175700,1.000000,-75.158360
46.501000,0.976560,-75.175700,-75.175700,1.000000,-75.158300
46.502000,0.976560,-75.175700,-75.175700,1.000000,-75.158300
46.504000,0.986330,-75.175700,-75.175700,1.000000,-75.158310
46.505000,0.976560,-75.175700,-75.175700,1.000000,-75.158300
46.506000,0.957030,-75.175700,-75.175700,1.000000,-75.158300
46.507000,1.005860,-75.175700,-75.175700,1.000000,-75.158300
46.508000,0.927730,-75.175700,-75.175700,1.000000,-75.158300
46.509000,0.986330,-75.175700,-75.175700,1.000000,-75.158300
46.510000,0.966800,-75.175700,-75.175700,1.000000,-75.158280
46.511000,0.966800,-75.175700,-75.175700,1.000000,-75.158250
46.512000,0.966800,-75.175700,-75.175700,1.000000,-75.158260
46.513000,0.986330,-75.175700,-75.175700,1.000000,-75.158230
46.514000,0.986330,-75.175700,-75.175700,1.000000,-75.158240
46.515000,0.996090,-75.175700,-75.175700,1.000000,-75.158230
46.516000,0.957030,-75.175700,-75.175700,1.000000,-75.158230
46.517000,0.966800,-75.175680,-75.175700,1.000000,-75.158180
46.518000,0.966800,-75.175700,-75.175700,1.000000,-75.158200
46.519000,0.947270,-75.175700,-75.175700,1.000000,-75.158180
46.520000,0.966800,-75.175700,-75.175700,1.000000,-75.158180
46.521000,0.976560,-75.175700,-75.175700,1.000000,-75.158170
46.537000,0.966800,-75.175700,-75.175700,1.000000,-75.158130
46.538000,0.957030,-75.175700,-75.175700,1.000000,-75.158130
46.540000,0.947270,-75.175680,-75.175700,1.000000,-75.158120
46.541000,0.927730,-75.175680,-75.175700,1.000000,-75.158090
46.542000,0.927730,-75.175700,-75.175700,1.000000,-75.158090
46.543000,0.937500,-75.175700,-75.175700,1.000000,-75.158070
46.544000,0.976560,-75.175700,-75.175700,1.000000,-75.158070
46.545000,0.947270,-75.175700,-75.175700,1.000000,-75.158050
46.546000,0.937500,-75.175700,-75.175700,1.000000,-75.158060
46.547000,0.947270,-75.175700,-75.175700,1.000000,-75.158050
46.548000,0.947270,-75.175700,-75.175700,1.000000,-75.158050
46.549000,0.957030,-75.175700,-75.175700,1.000000,-75.158060
46.550000,0.947270,-75.175700,-75.175700,1.000000,-75.158050
46.551000,0.976560,-75.175700,-75.175700,1.000000,-75.158030
46.552000,0.917970,-75.175700,-75.175700,1.000000,-75.158020
46.553000,0.976560,-75.175700,-75.175700,1.000000,-75.158000
46.554000,0.957030,-75.175700,-75.175700,1.000000,-75.158000
46.555000,0.966800,-75.175700,-75.175700,1.000000,-75.158000
46.556000,0.966800,-75.175700,-75.175700,1.000000,-75.157980
46.557000,0.957030,-75.175700,-75.175700,1.000000,-75.158000
46.570000,0.947270,-75.175700,-75.175700,1.000000,-75.158000
46.571000,0.927730,-75.175700,-75.175700,1.000000,-75.158000
46.573000,0.957030,-75.175700,-75.175700,1.000000,-75.158050
46.574000,0.966800,-75.175700,-75.175700,1.000000,-75.158030
46.575000,0.966800,-75.175700,-75.175700,1.000000,-75.158020
46.576000,0.986330,-75.175700,-75.175700,1.000000,-75.158000
46.577000,0.947270,-75.175700,-75.175700,1.000000,-75.158000
46.578000,0.947270,-75.175700,-75.175700,1.000000,-75.157950
46.579000,0.957030,-75.175700,-75.175700,1.000000,-75.157930
46.580000,0.917970,-75.175700,-75.175700,1.000000,-75.157920
46.581000,0.947270,-75.175700,-75.175700,1.000000,-75.157910
46.582000,0.957030,-75.175700,-75.175700,1.000000,-75.157910
46.583000,0.937500,-75.175700,-75.175700,1.000000,-75.157910
46.584000,0.947270,-75.175700,-75.175700,1.000000,-75.157880
46.585000,0.937500,-75.175700,-75.175700,1.000000,-75.157900
46.586000,0.947270,-75.175700,-75.175700,1.000000,-75.157910
46.587000,0.937500,-75.175700,-75.175700,1.000000,-75.157920
46.588000,0.966800,-75.175700,-75.175700,1.000000,-75.157910
46.589000,0.917970,-75.175700,-75.175700,1.000000,-75.157910
46.590000,0.947270,-75.175700,-75.175700,1.000000,-75.157930
46.612000,0.927730,-75.175700,-75.175700,1.000000,-75.157840
46.613000,0.947270,-75.175700,-75.175700,1.000000,-75.157840
46.615000,0.947270,-75.175700,-75.175700,1.000000,-75.157840
46.616000,0.917970,-75.175700,-75.175700,1.000000,-75.157860
46.617000,0.947270,-75.175700,-75.175700,1.000000,-75.157840
46.618000,0.947270,-75.175700,-75.175700,1.000000,-75.157860
46.619000,0.957030,-75.175700,-75.175700,1.000000,-75.157850
46.620000,0.957030,-75.175700,-75.175700,1.000000,-75.157840
46.621000,0.937500,-75.175700,-75.175700,1.000000,-75.157820
46.622000,0.957030,-75.175690,-75.175700,1.000000,-75.157820
46.623000,0.947270,-75.175690,-75.175700,1.000000,-75.157820
46.623000,0.947270,-75.175690,-75.175700,1.000000,-75.157820
46.624000,0.927730,-75.175700,-75.175700,1.000000,-75.157820
46.625000,0.957030,-75.175700,-75.175700,1.000000,-75.157820
46.626000,0.927730,-75.175700,-75.175700,1.000000,-75.157820
46.627000,0.947270,-75.175700,-75.175700,1.000000,-75.157820
46.628000,0.917970,-75.175700,-75.175700,1.000000,-75.157820
46.629000,0.966800,-75.175700,-75.175700,1.000000,-75.157840
